component_type,material_main,mass_g,recycled_content_pct,supplier_region,compliance_rohs,contains_hazardous_substance,repairability_bin
pcb,plastic,49.69,11.8,EU,0,0,Medium
cell,steel,72.74,28.2,EU,1,0,Medium
housing,plastic,42.18,54.9,Other,1,1,Low
connector,copper,59.88,20.9,EU,0,0,Medium
pcb,aluminum,73.05,41.4,Other,1,0,Medium
cell,copper,51.77,10.2,APAC,1,0,Medium
housing,copper,23.87,39.6,APAC,1,0,Medium
cell,copper,43.75,7.8,APAC,1,0,Low
connector,copper,47.85,73.6,EU,1,0,High
pcb,glass,53.22,34.9,EU,1,0,Medium
connector,steel,51.95,13.5,NA,1,0,Medium
cell,glass,49.66,39.3,Other,1,0,Medium
housing,glass,52.84,41.6,EU,1,0,Medium
cell,copper,45.24,36.7,APAC,1,0,Medium
cell,glass,43.78,0.0,EU,1,0,Low
pcb,aluminum,42.05,1.0,EU,1,0,Low
pcb,plastic,17.67,2.9,APAC,1,0,Low
connector,aluminum,59.63,33.1,NA,1,0,Medium
connector,plastic,96.08,57.5,APAC,1,1,Low
connector,glass,50.08,28.9,Other,1,0,Medium
connector,steel,79.89,50.5,EU,0,0,High
connector,plastic,36.32,24.9,NA,0,1,Low
connector,copper,33.73,10.4,EU,1,0,Medium
cell,glass,47.68,7.9,EU,1,0,Low
pcb,aluminum,38.07,19.0,EU,1,0,Medium
housing,steel,44.04,34.9,APAC,1,1,Low
connector,plastic,37.25,20.1,APAC,1,0,Medium
pcb,steel,43.82,51.9,NA,1,0,High
cell,plastic,30.29,24.6,APAC,1,0,Medium
connector,glass,31.11,73.3,NA,1,0,Medium
cell,aluminum,63.33,21.3,APAC,1,0,Medium
housing,plastic,71.99,49.2,APAC,0,0,Medium
cell,plastic,27.46,0.0,EU,1,0,Low
housing,copper,65.62,37.9,Other,1,0,Medium
connector,steel,91.29,42.4,APAC,1,0,Medium
pcb,aluminum,62.8,0.0,Other,1,1,Low
connector,aluminum,40.41,0.0,NA,1,0,Low
connector,plastic,51.89,34.4,Other,1,1,Low
cell,steel,35.39,0.0,EU,1,0,Low
connector,plastic,47.79,49.3,NA,1,0,Medium
cell,glass,58.32,36.9,EU,1,0,Medium
housing,plastic,55.61,41.3,EU,1,0,Medium
housing,aluminum,50.99,44.7,EU,1,0,Medium
housing,copper,9.39,58.2,NA,1,0,High
cell,copper,60.42,3.6,APAC,1,0,Low
cell,copper,82.96,20.2,EU,1,0,Medium
housing,aluminum,53.13,0.0,EU,0,0,Low
pcb,plastic,48.77,37.1,EU,1,1,Low
pcb,glass,40.44,30.5,EU,1,0,Medium
housing,steel,35.91,0.0,NA,0,0,Low
cell,aluminum,19.18,26.7,EU,1,0,Medium
pcb,steel,68.87,51.6,EU,1,0,High
connector,steel,89.12,23.1,EU,1,0,Medium
cell,steel,57.8,12.3,EU,1,0,Medium
connector,aluminum,28.8,62.5,NA,0,0,High
pcb,aluminum,61.66,17.1,NA,1,0,Medium
connector,plastic,67.6,58.3,NA,1,1,Low
connector,steel,30.88,53.2,EU,1,1,Low
pcb,steel,68.64,34.9,EU,1,0,Medium
housing,aluminum,55.6,25.4,EU,1,0,Medium
connector,aluminum,56.34,50.0,APAC,1,0,Medium
pcb,glass,23.07,0.0,APAC,1,0,Low
pcb,copper,26.88,5.7,EU,1,0,Low
housing,glass,62.87,9.9,APAC,1,0,Low
cell,glass,18.34,35.0,EU,1,0,Medium
housing,aluminum,71.37,35.3,Other,1,0,Medium
connector,aluminum,45.01,49.2,APAC,1,1,Low
housing,glass,80.73,19.4,EU,1,0,Medium
cell,copper,27.44,43.2,NA,1,1,Low
pcb,plastic,62.18,0.0,APAC,1,0,Low
connector,aluminum,22.33,0.0,APAC,0,1,Low
cell,plastic,67.05,25.5,NA,1,0,Medium
connector,plastic,36.95,13.0,EU,1,0,Medium
housing,steel,95.13,65.3,EU,1,0,High
housing,plastic,55.49,0.0,Other,1,0,Low
connector,glass,42.93,24.5,NA,1,0,Medium
connector,copper,95.19,68.0,NA,1,0,High
pcb,aluminum,17.66,38.9,Other,1,0,Medium
pcb,aluminum,58.53,50.0,NA,0,0,Medium
pcb,copper,45.21,2.1,EU,1,0,Low
pcb,aluminum,39.14,51.7,APAC,1,0,High
connector,plastic,45.86,26.7,EU,0,0,Medium
pcb,plastic,59.87,63.0,EU,1,0,Medium
connector,steel,14.88,23.5,NA,1,0,Medium
connector,glass,45.55,41.0,NA,1,1,Low
housing,plastic,68.2,0.0,EU,1,0,Low
connector,aluminum,21.24,32.4,EU,0,0,Medium
housing,aluminum,61.57,59.5,EU,1,1,Low
pcb,copper,35.61,24.4,NA,1,0,Medium
housing,glass,54.64,0.0,APAC,1,0,Low
pcb,plastic,20.67,27.2,NA,1,0,Medium
connector,aluminum,25.72,68.0,EU,0,0,High
cell,copper,23.31,0.0,NA,0,1,Low
cell,steel,63.54,32.0,EU,0,0,Medium
housing,steel,21.52,18.3,APAC,1,0,Medium
pcb,copper,35.49,18.3,NA,1,0,Medium
housing,aluminum,29.09,67.8,APAC,1,1,Low
pcb,aluminum,63.8,28.9,Other,1,0,Medium
housing,steel,74.22,43.8,EU,1,0,Medium
cell,aluminum,83.19,27.3,EU,1,0,Medium
pcb,steel,33.74,7.2,EU,1,1,Low
cell,copper,47.34,27.9,NA,0,0,Medium
cell,copper,51.95,36.3,EU,1,0,Medium
pcb,copper,63.88,0.5,APAC,1,0,Low
cell,glass,47.64,57.4,APAC,1,0,Medium
pcb,aluminum,8.6,30.1,NA,1,0,Medium
cell,copper,57.58,33.6,EU,1,0,Medium
pcb,steel,39.58,62.4,EU,1,0,High
housing,plastic,55.73,51.6,EU,1,0,Medium
housing,copper,62.13,15.4,NA,1,0,Medium
pcb,copper,42.71,57.0,EU,1,0,High
housing,glass,32.18,7.8,EU,1,0,Low
connector,aluminum,79.33,6.7,EU,1,0,Low
connector,glass,46.19,38.9,APAC,1,0,Medium
pcb,aluminum,47.28,97.4,NA,1,0,High
connector,steel,60.48,6.0,EU,1,0,Low
cell,copper,36.95,73.5,APAC,1,0,High
housing,steel,46.85,53.4,EU,1,0,High
cell,copper,34.72,34.1,EU,1,0,Medium
cell,steel,16.87,18.2,EU,1,1,Low
pcb,aluminum,26.22,40.0,APAC,1,0,Medium
cell,plastic,46.81,62.5,APAC,1,0,Medium
connector,glass,76.04,35.5,NA,1,0,Medium
pcb,copper,11.27,17.4,Other,0,0,Medium
connector,copper,77.29,53.6,EU,0,0,High
housing,glass,49.15,73.0,NA,1,0,Medium
pcb,steel,47.33,52.4,NA,0,0,High
connector,glass,36.24,23.9,EU,1,0,Medium
pcb,aluminum,40.73,0.0,EU,0,0,Low
housing,aluminum,53.13,53.6,EU,1,0,High
connector,steel,26.32,31.6,Other,1,0,Medium
connector,plastic,20.56,41.1,EU,1,0,Medium
cell,steel,59.02,25.4,EU,1,0,Medium
cell,plastic,64.94,0.0,APAC,1,0,Low
pcb,plastic,62.21,28.7,APAC,1,0,Medium
cell,aluminum,40.13,0.0,EU,1,0,Low
cell,glass,42.3,13.5,NA,1,0,Medium
pcb,copper,40.38,21.3,EU,1,0,Medium
pcb,aluminum,49.51,50.4,EU,1,0,High
housing,steel,38.05,15.8,NA,1,0,Medium
connector,copper,30.14,0.0,APAC,1,0,Low
cell,plastic,34.77,39.5,APAC,1,0,Medium
pcb,aluminum,36.21,23.3,NA,1,0,Medium
connector,copper,29.55,49.6,APAC,0,0,Medium
housing,copper,72.82,24.6,NA,1,0,Medium
pcb,glass,44.65,30.2,NA,0,0,Medium
pcb,glass,49.16,42.5,EU,1,0,Medium
connector,plastic,53.28,0.0,APAC,1,0,Low
housing,copper,57.98,0.0,Other,1,0,Low
pcb,glass,16.04,0.0,NA,0,0,Low
cell,copper,63.11,38.9,EU,1,0,Medium
pcb,copper,63.83,38.5,APAC,1,0,Medium
pcb,plastic,48.04,9.8,APAC,1,0,Low
pcb,aluminum,66.83,30.9,EU,1,1,Low
housing,glass,41.18,20.4,APAC,1,0,Medium
cell,glass,44.26,56.2,EU,1,0,Medium
pcb,copper,61.35,43.6,Other,1,0,Medium
pcb,copper,56.99,14.2,NA,1,0,Medium
housing,steel,51.27,32.3,EU,1,0,Medium
cell,glass,18.59,2.0,NA,1,0,Low
