resolution,position_number,assembly_indicator,component_number,object_short_text,componentmng_kme,base_amount,compensation_unit,supplier_s_name,vi_plant,vi_plant_name,vi_material,material_description,material_composition,total_weight,weight_unit,material_type,final_destination_of_material_at_plant,source_product_scope,source_sheet,source_file
.1,0001,,5134619,Felt strip 100 x 50 x 2,2.0,ST,ST,Plastocell,0.0,Third Party,W4002/B/D12P,Packing strip,Packing strip,100.0,g,Packaging,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.1,0002,,5801927,Flammable refrigerant sticker,1.0,ST,ST,,0.0,Third Party,"PP-Folie lamin, selbstklebend",Polypropylene,PolyPropylene,5.0,g,Packaging,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.1,0003,,6147210,mounting bracket,2.0,ST,ST,,0.0,Third Party,DX51D+Z,Non alloy quality Steel,Fe (98.335%) C(0.12%) Si (0.5%) Mn (0.6%) P (0.1%) S (0.045%) Ti (0.3%) + polycarbonate,110.0,g,Packaging,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.1,0004,,6147215,Box - 0200-F2F3,1.0,ST,ST,,0.0,Third Party,2.91 BAA,Cardboard,Paper,7690.0,g,Packaging,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.1,0005,,6160071,EPS pad center pallet ODU,1.0,ST,ST,,0.0,Third Party,PS-E RG45,Thermoplastic - PS,Polystyrol,290.0,g,Packaging,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.1,0006,,6160073,EPS padding outside pallet ODU,2.0,ST,ST,,0.0,Third Party,PS-E RG45,Thermoplastic - PS,Polystyrol,120.0,g,Packaging,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.1,0007,,6163216,POTA ODU VC 25X-A 400V A13 AF,1.0,ST,ST,,1000.0,Third Party products abroad,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.1,0008,,6198998,Type no. Vitocal 25X-A 400V A13 AF,1.0,ST,ST,,0.0,Third Party,PP-Folie lamin,Polypropylene,Polypropylene,5.0,g,Packaging,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.1,0009,,6198203,Type designation ODU 25X-A 400V A13 A,1.0,ST,ST,,16.0,Vi-Technika Legnica,Super Tack CrackBack Plus,Paper,Paper,5.0,g,Packaging,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.1,0010,,6196894,Type designation ODU 25X-A 400V A13 AF,1.0,ST,ST,,0.0,Third Party,PP-Folie lamin,Polypropylene,Polypropylene,5.0,g,Packaging,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.1,0011,,7978515,Pallet ODU,1.0,ST,ST,,0.0,Third Party,Wood,Wood,Wood,10490.0,g,Packaging,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.1,0012,X,7978113,Final assembly ODU4_AF VC 250-A AF 10-13kW 4,1.0,ST,ST,,1000.0,Third Party products abroad,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
..2,0001,,6146127,Shaped hose gas separator BA,1.0,ST,ST,,0.0,Third Party,Butyl,Rubber,Isobutene-isoprene rubber,155.0,g,Third party raw material,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
..2,0002,,6146129,Molded hose RL BA,1.0,ST,ST,,0.0,Third Party,Butyl,Rubber,Isobutene-isoprene rubber,65.0,g,Third party raw material,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
..2,0003,,6146586,Cover air space ODU 4,1.0,ST,ST,,0.0,Third Party,EPP RG60,Thermoplastic - EPP RG60,polypropylene,430.0,g,Third party raw material,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
..2,0004,,6159791,Corrugated hose 32 x 530 with grommet,1.0,ST,ST,,0.0,Third Party,PP,Thermoplastic - PP,Polypropylene,95.0,g,Third party raw material,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
..2,0005,,6160525,Hose nozzle G1 1/4 AG - DN32,1.0,ST,ST,,0.0,Third Party,PA6,Thermoplastic - PA6,Polyamide 6,25.0,g,Third party raw material,Legnica,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
..2,0006,,7711480,Carrying strap loop with eyelet 12 mm,6.0,ST,ST,,0.0,Third Party,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
..2,0007,X,7929115,Guide rail lks. powdered,1.0,ST,ST,,88.0,unterschiedliche Beschaftung (Different Procurement),,Non alloy quality Steel,Fe (98.335%) C(0.12%) Si (0.5%) Mn (0.6%) P (0.1%) S (0.045%) Ti (0.3%) + polycarbonate,670.0,g,Raw material,Allendorf - Werk 1,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
