resolution,position_number,assembly_indicator,component_number,object_short_text,componentmng_kme,base_amount,compensation_unit,supplier_s_name,vi_recommendation,vi_plant,vi_material,material_description,material_composition,measured_weight,total_measured_weight,weight_unit,source_product_scope,source_sheet,source_file,vi_plant_name,total_weight,material_type,final_destination_of_material_at_plant
.1,0001,,6198190,"Type reference IDU VC-250-A, AWO-E-AC 251.A16",1.0,ST,ST,,5.0,Vi-Werke Allendorf,Super Tack CrackBack Plus,Paper,Paper,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.1,0002,,6137974,ErP label VC 250-A AWO-E-AC 251.A13,1.0,ST,ST,,5.0,Vi-Werke Allendorf,Kopierpapier 80g,Paper,Paper,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.1,0003,,6185639,Box 0200-F,1.0,ST,ST,,0.0,Third Party,2.92 BAA,Cardboard,Cardboard,2746.2,2746.2,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.1,0004,,6148883,Wall bracket,1.0,ST,ST,,0.0,Third Party,DX51D+Z,Non alloy quality Steel,Fe (98.335%) C(0.12%) Si (0.5%) Mn (0.6%) P (0.1%) S (0.045%) Ti (0.3%) + polycarbonate,485.2,485.2,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.1,0005,,6173733,ErP label VC 250-A AWO-M-E-AC 251.A10,1.0,ST,ST,,5.0,Vi-Werke Allendorf,Kopierpapier 80g,Paper,Paper,1.0,1.0,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.1,0006,,6173734,ErP label VC 250-A AWO-M-E-AC 251.A13,1.0,ST,ST,,5.0,Vi-Werke Allendorf,Kopierpapier 80g,Paper,Paper,1.0,1.0,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.1,0007,,6173735,ErP label VC 250-A AWO-E-AC 251.A10,1.0,ST,ST,,5.0,Vi-Werke Allendorf,Kopierpapier 80g,Paper,Paper,1.0,1.0,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.1,0008,,6173746,ErP label VC 250-A AWO-M-E-AC-AF 251.A10,1.0,ST,ST,,5.0,Vi-Werke Allendorf,Kopierpapier 80g,Paper,Paper,1.0,1.0,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.1,0009,,6173747,ErP label VC 250-A AWO-M-E-AC-AF 251.A13,1.0,ST,ST,,5.0,Vi-Werke Allendorf,Kopierpapier 80g,Paper,Paper,1.0,1.0,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.1,0010,,6173748,ErP label VC 250-A AWO-E-AC-AF 251.A10,1.0,ST,ST,,5.0,Vi-Werke Allendorf,Kopierpapier 80g,Paper,Paper,1.0,1.0,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.1,0011,,6173749,ErP label VC 250-A AWO-E-AC-AF 251.A13,1.0,ST,ST,,5.0,Vi-Werke Allendorf,Kopierpapier 80g,Paper,Paper,1.0,1.0,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
.1,0012,X,7966964,Endm. VC 250-A AWO-E-AC 251.A16,1.0,ST,ST,,5.0,Vi-Werke Allendorf,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
..2,0002,,6184378,Retaining plate Defrost buffer,1.0,ST,ST,,5.0,Vi-Werke Allendorf,DX51D+Z,Non alloy quality Steel,Fe (98.335%) C(0.12%) Si (0.5%) Mn (0.6%) P (0.1%) S (0.045%) Ti (0.3%) + polycarbonate,989.0,989.0,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
..2,0003,,6147302,MAG rear mount,1.0,ST,ST,,5.0,Vi-Werke Allendorf,DX51D+Z,Non alloy quality Steel,Fe (98.335%) C(0.12%) Si (0.5%) Mn (0.6%) P (0.1%) S (0.045%) Ti (0.3%) + polycarbonate,59.6,59.6,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
..2,0004,,6147520,Brace MAG admission,1.0,ST,ST,,5.0,Vi-Werke Allendorf,DX51D+Z,Non alloy quality Steel,Fe (98.335%) C(0.12%) Si (0.5%) Mn (0.6%) P (0.1%) S (0.045%) Ti (0.3%) + polycarbonate,91.0,91.0,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
..2,0007,X,7923887,DCAM45/92-230/400CA,1.0,ST,ST,,5.0,Vi-Werke Allendorf,,,,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
...3,0001,,5816681,Note Remove front plate DCW45A1B1,1.0,ST,ST,,0.0,Third Party,PP-Folie,Paper,Paper,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
...3,0002,,6062642,Hinge,2.0,ST,ST,,0.0,Third Party,EN AW-6060,Aluminium alloy,"Al(97,85%), Si(0.3), Fe(0.30%), Cu(0.1%), Mn(0.10%), Mg(0.6%), Cr(0.05%), Zn(0.15%), Ti(0.1%), Other (0.15%)",11.0,22.0,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
...3,0003,X,7930742,ABG Air box sealing mat,2.0,ST,ST,,5.0,Vi-Werke Allendorf,,,,1.15,2.3,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
....4,0001,,6098089,Air box sealing mat,0.4,ST,ST,,0.0,Third Party,Aeroflex KKS,insulation,ethylene propylene diene monomer - rubber,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
....4,0002,,6147778,Air box sealing mat,1.6,ST,ST,,0.0,Third Party,Aeroflex KKS,insulation,ethylene propylene diene monomer - rubber,,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
...3,0004,,6140275,Top panel,1.0,ST,ST,,5.0,Vi-Werke Allendorf,DX51D+Z,Non alloy quality Steel,Fe (98.335%) C(0.12%) Si (0.5%) Mn (0.6%) P (0.1%) S (0.045%) Ti (0.3%) + polycarbonate,1320.8,1320.8,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
...3,0005,,6145991,Hinge HMU-MCU,2.0,ST,ST,,0.0,Third Party,PA6 GF30,Thermoplastic - PA6 GF30,Poly Carbonate Acrylonitrile butadiene styrene,38.2,76.4,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
...3,0006,X,7367336,Sealcover DCX45,1.0,ST,ST,,0.0,Third Party,,,,393.4,,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
....4,0005,,6072003,Sealcover DCX45,1.0,ST,ST,,0.0,Third Party,ABS,Thermoplastic - ABS,Acrylonitrile Butadiene Styrene,,317.4,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
....4,0006,,6090801,Slidelock,2.0,ST,ST,,1000.0,Third Party products abroad,PC GF10,Thermoplastic - PC GF10,Polycarbonate,,18.0,g,vitocal_250_a_indoor_unit,BOM_ENG,Vitocal 250-A_Indoor unit_BOM.xlsx,,,,
