component_type,material_main,mass_g,recycled_content_pct,supplier_region,compliance_rohs,contains_hazardous_substance,repairability_bin
housing,aluminum,3.18,43.364093225742394,APAC,0,1,Medium
cell,steel,3.18,17.327590481838648,Other,1,0,Medium
housing,steel,19.355689150191886,43.364093225742394,Other,1,0,Medium
housing,steel,3.18,97.4,EU,1,0,Medium
housing,copper,3.18,24.231745553617216,NA,1,0,Medium
connector,copper,3.18,36.65795905901708,NA,1,0,Medium
connector,aluminum,28.821387790804728,9.824579360956438,EU,1,0,Medium
cell,copper,3.18,35.993452111697174,APAC,1,0,Medium
housing,copper,3.18,7.2033956219204756,NA,0,0,Medium
housing,copper,3.18,5.44327221381746,EU,1,0,Medium
pcb,copper,3.18,61.27029925471189,NA,0,0,Medium
housing,steel,12.647113989124847,55.058828804638324,NA,1,0,High
housing,aluminum,3.18,13.76807532228586,APAC,1,0,Medium
housing,steel,6.929868625220735,30.318494920062612,NA,1,0,Medium
housing,aluminum,29.030468669856944,28.41350581897072,APAC,1,0,Low
housing,aluminum,3.18,6.70486099870716,APAC,1,0,High
housing,steel,13.069005797293592,48.50006343396663,EU,1,0,Medium
cell,steel,44.592031673219616,63.715778951362935,NA,1,0,Medium
housing,steel,3.18,34.04621504888145,EU,1,0,Medium
housing,steel,3.18,30.818069326791814,EU,1,0,Medium
housing,steel,3.18,27.92339316197102,APAC,1,0,Medium
housing,glass,3.18,37.59979712975596,APAC,1,0,Medium
housing,steel,23.09638632637907,12.21059412379325,NA,1,0,High
connector,steel,13.577058201040899,21.353196962037075,NA,0,0,High
connector,aluminum,3.18,27.231237662293253,NA,1,0,Medium
connector,aluminum,14.953889562576926,42.0035828724002,APAC,1,1,Medium
cell,aluminum,3.18,18.166560050779,NA,1,0,High
housing,aluminum,3.18,28.99904954280892,NA,1,0,Medium
connector,aluminum,16.858333835029235,0.3172072779380528,NA,1,0,Medium
housing,plastic,22.633786674698225,40.348773879649265,EU,1,0,Medium
connector,glass,3.18,1.0316644057302318,EU,1,0,Medium
housing,steel,3.18,31.760172181319113,EU,1,0,Medium
housing,steel,3.18,21.40717196445538,NA,1,0,Medium
connector,aluminum,6.593683396990265,28.281893328657432,APAC,1,0,Medium
connector,aluminum,3.18,26.554755825366918,APAC,1,0,Medium
housing,aluminum,3.18,14.329834949097503,APAC,1,1,Medium
cell,aluminum,3.18,14.17493963590548,EU,1,0,Medium
housing,steel,3.18,77.52174877275309,EU,1,0,Medium
connector,copper,3.18,27.431638418412533,NA,1,0,Medium
housing,aluminum,9.792781425120214,42.55094579217557,APAC,1,0,Medium
housing,copper,12.735549114038562,82.41851416457045,APAC,1,0,Medium
