component_type,material_main,mass_g,recycled_content_pct,supplier_region,compliance_rohs,contains_hazardous_substance,repairability_bin
connector,copper,51.27,21.3,APAC,1,0,High
cell,glass,40.73,39.3,Other,0,1,Medium
connector,steel,36.4,39.6,NA,1,0,Medium
cell,plastic,26.88,40.0,NA,1,1,Low
cell,glass,57.4,0.0,EU,0,0,Low
cell,steel,44.16,35.5,Other,1,0,Medium
pcb,plastic,20.67,51.7,Other,0,1,Medium
cell,glass,51.95,35.5,APAC,1,1,High
cell,glass,23.31,73.5,EU,1,1,High
pcb,plastic,26.32,15.8,NA,1,0,High
connector,glass,55.49,41.0,APAC,1,0,High
pcb,aluminum,26.32,52.4,NA,0,0,Low
cell,aluminum,67.05,24.4,APAC,0,0,High
pcb,plastic,59.87,15.5,NA,0,1,Low
pcb,aluminum,95.13,29.1,APAC,1,1,Low
pcb,steel,62.41,40.0,APAC,1,1,Medium
pcb,glass,36.16,22.3,EU,0,1,Medium
housing,aluminum,63.89,35.3,EU,1,0,Low
housing,glass,51.27,31.6,EU,1,1,Low
housing,copper,61.57,29.1,APAC,1,1,High
cell,glass,45.86,23.1,EU,1,0,Low
pcb,copper,38.07,38.9,Other,1,1,Low
connector,aluminum,25.72,24.1,EU,0,0,High
pcb,copper,63.8,24.1,Other,0,0,High
housing,steel,40.79,39.3,Other,1,1,Low
housing,plastic,28.8,16.5,EU,1,1,Medium
housing,copper,47.85,28.9,NA,0,0,High
housing,steel,47.79,37.0,EU,1,1,High
housing,steel,36.32,16.1,EU,1,1,High
pcb,plastic,61.35,39.3,EU,1,0,Medium
pcb,copper,41.18,51.7,APAC,0,0,Medium
housing,steel,47.85,33.6,EU,1,1,Low
cell,glass,48.77,34.9,NA,1,1,Medium
pcb,copper,79.33,13.5,Other,1,0,Medium
cell,copper,89.12,27.2,EU,1,1,Medium
housing,copper,57.75,20.2,NA,0,0,Medium
cell,glass,3.18,49.2,NA,1,0,Medium
cell,aluminum,63.33,47.1,APAC,1,0,High
housing,plastic,70.4,56.2,EU,0,1,High
housing,steel,91.29,36.7,NA,0,1,Medium
pcb,aluminum,8.6,36.9,NA,1,0,Medium
pcb,steel,67.05,50.4,APAC,0,0,Medium
cell,copper,47.85,34.1,EU,1,1,Medium
housing,steel,67.16,57.0,EU,0,1,Low
pcb,copper,31.11,30.9,Other,0,1,Low
pcb,glass,65.47,15.0,NA,1,0,High
pcb,copper,16.48,1.0,EU,0,0,Low
pcb,steel,18.34,34.5,APAC,1,1,Medium
cell,aluminum,51.27,41.6,EU,0,1,High
housing,steel,45.55,0.0,NA,0,0,Low
