component_type,material_main,mass_g,recycled_content_pct,supplier_region,compliance_rohs,contains_hazardous_substance,repairability_bin
connector,plastic,29.624131696652608,0.0,APAC,1,0,High
connector,plastic,3.18,0.0,Other,1,0,High
connector,plastic,35.984925057352115,0.0,Other,1,0,Medium
connector,plastic,3.18,0.0,APAC,1,0,High
connector,steel,3.18,0.0,APAC,0,0,High
connector,plastic,13.213638167737635,0.0,Other,1,0,High
connector,plastic,15.172525724930171,0.0,EU,0,0,High
connector,plastic,3.18,0.0,APAC,0,0,High
cell,plastic,3.18,0.0,Other,1,1,High
connector,plastic,8.134784372811573,0.0,Other,0,0,Medium
connector,plastic,24.51732087421514,0.0,APAC,0,1,High
pcb,plastic,38.55422817584947,0.0,EU,1,0,Medium
connector,plastic,34.31887746994245,0.0,Other,1,0,High
connector,plastic,20.189366148738255,0.0,APAC,1,0,High
connector,steel,3.18,0.0,APAC,1,0,High
connector,plastic,9.880499032796763,0.0,EU,0,0,High
connector,plastic,11.557934242925676,0.0,APAC,0,0,High
connector,plastic,20.967225942777336,0.0,APAC,0,0,High
pcb,plastic,46.90876649219266,0.0,APAC,0,1,Medium
pcb,plastic,6.938338198704372,0.0,NA,1,0,Low
connector,plastic,3.18,0.0,Other,0,0,High
connector,plastic,3.7339199358995643,0.0,Other,0,0,High
housing,plastic,16.678353724410403,0.0,APAC,0,0,High
connector,plastic,3.18,0.0,Other,0,0,Medium
connector,plastic,3.18,0.0,NA,0,0,High
connector,plastic,54.95027806002885,0.0,Other,0,0,High
housing,plastic,3.18,0.0,APAC,1,0,High
connector,plastic,7.112877736117461,0.0,APAC,1,0,High
connector,plastic,26.651204874585403,0.0,Other,0,0,High
connector,plastic,3.18,0.0,APAC,1,0,Medium
connector,glass,3.18,0.0,NA,1,0,Medium
connector,steel,3.18,0.0,EU,1,0,High
connector,aluminum,3.18,0.0,Other,1,0,Medium
housing,plastic,8.096071128500789,0.0,APAC,1,0,High
housing,plastic,40.86686795113065,0.0,EU,1,0,High
connector,plastic,17.913292138501102,0.0,EU,1,1,Medium
connector,plastic,33.97881274497854,0.0,Other,0,0,High
connector,plastic,3.18,0.0,EU,0,0,High
connector,plastic,3.18,0.0,EU,1,0,High
connector,plastic,3.18,0.0,NA,1,0,High
connector,plastic,20.46735656058821,0.0,APAC,1,0,High
connector,plastic,5.691532719377975,0.0,EU,0,0,Low
connector,plastic,35.91596565579623,0.0,APAC,1,0,High
connector,plastic,6.383227836939199,0.0,APAC,1,0,High
connector,plastic,4.315549178442197,0.0,Other,1,0,Medium
connector,plastic,51.9237094786592,0.0,APAC,1,0,Medium
connector,plastic,11.701352947089784,0.0,APAC,1,0,High
connector,plastic,9.886753103265217,0.0,APAC,1,0,High
connector,plastic,36.6821938565257,0.0,Other,0,0,High
housing,plastic,36.18290728751626,0.0,Other,1,0,Medium
housing,plastic,36.34290400580933,0.0,APAC,0,0,High
cell,plastic,10.889259822885407,0.0,EU,0,0,Medium
connector,copper,23.095517993244055,0.0,APAC,1,0,High
connector,plastic,47.123994122410096,0.0,Other,1,0,High
connector,plastic,39.2718806707734,0.0,APAC,0,0,Medium
connector,plastic,40.89251531977788,0.0,APAC,1,0,High
connector,plastic,3.1973958404648073,0.0,EU,0,1,High
connector,aluminum,21.606180137649705,0.0,EU,1,0,Low
connector,plastic,7.226021929822778,0.0,NA,1,0,High
connector,plastic,19.262374719657792,0.0,Other,1,0,High
cell,plastic,3.18,0.0,APAC,1,0,High
connector,glass,3.18,0.0,Other,1,0,Medium
connector,plastic,21.206813291712983,0.0,Other,0,0,High
connector,plastic,3.18,0.0,APAC,0,0,Medium
housing,plastic,3.18,0.0,APAC,0,1,Medium
connector,plastic,22.298951857467866,0.0,EU,1,0,High
housing,plastic,3.18,0.0,EU,1,0,High
connector,plastic,3.18,0.0,Other,1,0,Medium
