component_type,material_main,mass_g,recycled_content_pct,supplier_region,compliance_rohs,contains_hazardous_substance,repairability_bin
pcb,plastic,35.40125053520913,6.570129630492483,APAC,1,0,Low
cell,plastic,55.32812833522438,25.676535778044723,NA,1,0,Medium
pcb,copper,41.908650609054746,3.850375892029662,APAC,1,0,Low
housing,steel,39.40298052308639,0.0,APAC,1,1,Low
cell,plastic,23.176678262150276,12.354775933400871,EU,1,0,Low
cell,steel,40.72715385758739,8.36876094413913,EU,1,1,Medium
pcb,plastic,29.41890004187714,14.913510075269096,EU,1,0,Medium
housing,glass,25.35060105208778,32.755589584045765,EU,1,0,Low
pcb,steel,46.40237151253032,8.510841835037361,NA,1,1,Low
pcb,steel,38.795068886724025,21.66224790085018,EU,1,0,Medium
housing,aluminum,51.80819336440905,40.02678062067507,APAC,1,0,Medium
cell,copper,46.34872807350622,32.21577748422683,EU,1,0,Medium
pcb,aluminum,51.53922458917278,27.63555231017901,EU,1,0,Medium
connector,plastic,50.38456786636628,42.01865125379764,EU,1,0,Medium
cell,aluminum,30.374611433460775,21.123449260178752,NA,1,0,Medium
pcb,steel,37.36385539517616,4.081940338748353,APAC,1,0,Low
cell,steel,33.60190146306169,22.38457787157011,EU,1,0,Medium
cell,aluminum,48.74720247908772,26.24542758038255,EU,1,0,Medium
pcb,plastic,16.447677617594756,14.68552215649914,APAC,1,0,Low
cell,steel,42.16263122269325,45.38947589362992,APAC,1,0,Low
pcb,steel,53.25971970787855,38.95528790030463,NA,1,0,High
cell,aluminum,70.70013991488912,0.0,EU,1,0,Medium
housing,glass,50.398626647216936,28.475389128095987,EU,1,0,Medium
cell,glass,40.9179454913388,0.0,NA,1,1,Low
cell,steel,73.66979418427877,15.64607552992958,EU,1,0,Medium
housing,copper,53.2533898940171,20.388381899099308,NA,1,0,Medium
housing,glass,47.19833244808302,23.64363535336135,APAC,1,0,Medium
cell,aluminum,32.70126176334168,50.41709694616048,APAC,1,0,Medium
cell,aluminum,32.20276058782225,37.795008109887654,EU,1,0,Medium
pcb,plastic,25.833895748554532,10.291070189067062,APAC,1,1,Low
pcb,copper,62.35680755802831,0.0,APAC,1,0,Medium
pcb,steel,53.46176165221095,5.675971478108922,APAC,1,0,Medium
connector,plastic,60.63260870040809,26.5801989834138,NA,1,0,Medium
pcb,copper,48.6734033126623,25.394845148081647,NA,1,0,Medium
cell,aluminum,23.60539582262063,10.444186935510384,EU,1,0,Low
cell,plastic,49.00362356998994,39.030949880854685,EU,1,0,Medium
connector,plastic,40.25223876424936,0.0,EU,1,0,Medium
pcb,glass,46.14098815498733,21.037045632925995,NA,1,0,Medium
housing,plastic,21.729890716243016,10.439345827219764,EU,1,0,Low
pcb,aluminum,36.58154598374224,6.922130931345628,EU,1,0,Low
pcb,glass,57.8582427360221,0.0,APAC,1,0,Low
connector,plastic,18.55333164829271,1.8984146067322616,APAC,1,1,Low
pcb,aluminum,45.97285531116627,16.600951297320865,NA,1,0,Medium
pcb,copper,24.111825486119617,9.674266431920104,APAC,1,0,Medium
connector,aluminum,67.56631537487134,30.890901555602092,NA,1,0,Medium
housing,aluminum,32.46755515559808,35.15000641728342,APAC,1,0,Low
cell,copper,37.06876593893897,28.330245113911595,NA,1,1,Medium
connector,aluminum,11.226236969658018,38.62902093857608,NA,0,0,Medium
pcb,copper,49.97035825263276,0.0,EU,1,0,Medium
pcb,steel,43.88064367651486,33.10122959957896,NA,1,0,Medium
cell,steel,54.73148232508079,38.51271913284861,APAC,0,0,Medium
pcb,plastic,62.32600363346036,46.96848605588393,EU,1,1,Medium
cell,steel,61.37692084990796,47.26459750666966,EU,1,0,Medium
housing,plastic,36.41341369685345,0.0,APAC,1,0,Low
cell,glass,53.260035210016824,13.720743477783069,EU,1,0,Medium
pcb,plastic,30.56467905524439,10.796467514210036,APAC,1,1,Low
pcb,glass,48.618734839771506,35.52746638603386,APAC,1,0,Low
pcb,copper,54.591820973426834,35.426948583036065,EU,1,0,Medium
cell,copper,40.58842146898134,0.0,APAC,0,0,Low
cell,steel,52.43470027353255,28.496259131346136,EU,1,0,Medium
cell,plastic,52.175651576119535,25.73038628127079,EU,1,0,Medium
pcb,steel,49.173066283732155,26.922416023671943,EU,1,0,Medium
pcb,aluminum,44.31242325067667,32.968034540813264,NA,1,0,Low
cell,glass,24.7393522774862,27.925083078245187,NA,1,0,Medium
cell,plastic,44.059398332835656,49.413186446925245,EU,1,0,Low
pcb,steel,51.96542119566453,31.408196497650373,NA,1,0,Medium
pcb,steel,39.35995082104392,38.88054358774106,NA,1,0,Medium
cell,steel,40.37793448197698,6.375558026269001,EU,1,0,Low
cell,copper,27.457888008239237,3.3497775862082886,EU,1,0,Low
pcb,copper,42.359114704376026,7.072530016442203,APAC,1,0,Low
cell,aluminum,38.839436340110055,39.528345201118434,APAC,1,0,High
cell,plastic,50.43604066181772,37.23146630057474,APAC,1,0,Medium
housing,glass,21.79890576474167,0.0,Other,1,0,High
pcb,copper,36.998593585156414,33.54258397317395,NA,1,0,Low
pcb,plastic,46.11759699910496,28.99187466317411,EU,1,0,Low
connector,steel,39.59654790733584,50.10350516551167,Other,0,0,Low
pcb,steel,35.098692617058056,24.107363197985443,EU,1,0,Medium
pcb,aluminum,18.16459737027729,9.935478173044547,NA,1,0,Low
cell,plastic,25.52467803416438,1.6010162899253642,APAC,1,0,Low
pcb,aluminum,25.119104351642783,34.35723990218843,NA,1,0,Medium
cell,copper,48.059352402895776,59.449471251080546,EU,1,0,Medium
pcb,copper,44.64331899724695,12.9898090368271,NA,1,0,Low
pcb,plastic,30.087327940100895,8.51904757643113,EU,1,0,Low
connector,copper,44.189651984366634,35.85129442828291,NA,1,0,Medium
pcb,steel,39.30444360813506,31.046065665317613,EU,1,0,Medium
connector,steel,30.00861335896302,14.2209003041803,EU,1,0,Low
housing,glass,20.907771785226423,8.06692429075188,EU,1,0,Low
cell,copper,31.390275471435498,45.84260152720583,NA,1,0,Medium
connector,copper,32.68633781047671,20.757831969671315,NA,1,0,Low
connector,glass,50.26989961668996,52.20073984084411,NA,1,0,Low
pcb,steel,31.317748407960792,0.0,APAC,1,0,Low
pcb,copper,54.71428982550725,25.218665364533805,EU,1,0,Medium
connector,plastic,55.91187022437286,12.8962440895615,APAC,1,0,Low
pcb,aluminum,56.63458008448307,28.254272520602687,EU,1,0,Medium
cell,aluminum,20.816038355043165,3.8537339487314024,NA,1,0,Low
pcb,steel,28.722182211410505,39.32055405102354,EU,1,0,Low
housing,steel,56.30919963831049,44.266577895292,NA,1,0,Medium
cell,plastic,50.6655908143174,43.31057247237443,APAC,1,0,Medium
connector,plastic,40.039100779578334,33.70406859908291,APAC,1,0,Low
housing,plastic,36.81828118924032,0.0,APAC,1,0,Low
cell,steel,45.027237481812016,33.76675796245789,NA,1,0,Medium
cell,plastic,36.47923640950644,15.015749284571257,EU,1,0,Medium
cell,copper,55.09076212544976,18.57276870271429,NA,1,0,Medium
cell,steel,38.04198505376827,23.01800997487082,Other,1,0,Medium
cell,plastic,41.088873021355525,4.0811535088553175,NA,1,0,High
housing,aluminum,53.98604099537731,8.381622196821052,APAC,1,0,Low
cell,steel,48.713360349683406,26.551185031040944,APAC,1,0,Low
pcb,glass,50.13247758532079,16.23762023987693,NA,1,0,High
cell,plastic,37.34731450637363,44.761081342753414,APAC,1,0,Medium
housing,copper,33.35063328526775,3.9797404302903514,EU,1,0,Low
cell,copper,45.31583199376587,1.5382587142740831,NA,1,0,Low
pcb,glass,49.67264501879421,41.17017055892345,APAC,1,0,High
pcb,plastic,38.55345495442762,50.662388208550446,APAC,1,0,Low
pcb,plastic,41.718587442729394,22.73689322736069,EU,1,0,Medium
cell,steel,40.25356314921813,0.0,EU,1,0,Medium
pcb,steel,51.139150056012674,15.286265791114182,EU,1,0,Medium
cell,plastic,20.022414307349568,6.607576756182808,APAC,1,0,Medium
pcb,steel,33.63435390718706,41.71372304851555,NA,1,1,Low
cell,plastic,25.794188704511924,13.2532222648588,APAC,1,0,Low
pcb,plastic,45.89299400645787,7.864149429552939,APAC,1,0,Low
cell,glass,51.74779920995069,4.418669335680269,APAC,1,0,Low
pcb,plastic,19.91439172175565,23.7044315659798,APAC,1,0,Medium
connector,copper,27.39159970019773,30.94100543412736,APAC,0,1,Medium
connector,plastic,21.084094318267734,5.475979457701806,APAC,1,0,Low
pcb,glass,47.16905201177499,38.85185328479394,NA,1,0,Medium
connector,aluminum,37.39892096557297,0.0,APAC,1,0,Low
cell,steel,41.00695775038775,6.674999338709199,EU,1,0,Low
housing,steel,34.24666530858444,9.866850939922262,EU,1,0,High
cell,steel,47.63020335913924,30.132337019489107,EU,1,0,Medium
cell,copper,62.43264057153439,17.65824538701732,EU,1,0,High
connector,copper,24.7469532892834,21.42360207769924,NA,1,0,Medium
cell,plastic,36.68193525546654,53.875969673704645,APAC,1,0,Low
cell,steel,53.79154604041068,19.441430157928473,EU,1,0,Medium
pcb,steel,55.95360004646701,25.420137415464268,NA,1,0,Medium
pcb,copper,46.91313717231793,0.0,APAC,1,0,Low
pcb,copper,49.54954213411797,41.464777691712825,EU,1,0,Low
cell,steel,52.20386242397824,26.497442222019583,Other,1,0,Medium
pcb,aluminum,33.785842829733255,45.39988312148642,NA,1,0,Medium
cell,steel,45.35273126370417,50.534369273350215,EU,1,0,Medium
pcb,steel,44.54489903807502,41.49088560099325,EU,1,0,Medium
cell,aluminum,16.558297735356184,4.961683384598796,APAC,1,0,Low
pcb,copper,45.75848455688701,0.0,APAC,1,0,High
pcb,steel,40.5815973777188,0.0,APAC,1,0,Low
connector,aluminum,46.75542731617159,15.431197250947172,NA,1,0,Medium
pcb,copper,42.5206078015202,2.1582438421382566,APAC,1,0,Low
housing,plastic,46.30066815908448,13.182253832834876,EU,1,0,Medium
housing,plastic,20.61580783296094,0.0,APAC,1,0,Low
cell,glass,54.94045000081736,39.856713900273704,NA,1,0,Medium
pcb,plastic,35.68619602684534,49.728502608469306,EU,1,1,High
housing,plastic,46.17626257499023,58.40737904859672,NA,1,0,Medium
cell,steel,53.946984169775014,4.413850148727679,EU,0,1,Low
pcb,steel,45.748504051911056,25.529172696431637,APAC,1,0,Medium
cell,plastic,53.15020398683414,19.005622319282004,APAC,1,0,Medium
connector,copper,43.37844279984004,37.71654409617445,APAC,1,0,Medium
pcb,steel,50.988879562068426,37.81068980312286,NA,1,0,Medium
cell,plastic,39.603757952670435,15.031149170679823,APAC,1,0,Low
connector,steel,50.7798184609414,26.687275363478605,APAC,1,0,Medium
connector,aluminum,23.49135168518385,10.190670753172618,EU,1,0,Low
housing,copper,30.38541369202017,8.277955970062202,APAC,1,0,Low
connector,plastic,44.16288637578209,19.963006794831497,NA,0,0,High
