component_type,material_main,mass_g,recycled_content_pct,supplier_region,compliance_rohs,contains_hazardous_substance,repairability_bin
pcb,copper,68.87,23.9,Other,0,0,Medium
connector,aluminum,47.28,12.3,EU,1,1,Low
housing,plastic,17.66,49.3,EU,1,1,Medium
pcb,aluminum,63.33,33.6,EU,1,0,Medium
housing,copper,44.04,36.9,Other,0,0,Low
cell,glass,51.77,33.1,EU,0,0,Medium
housing,plastic,28.8,41.3,APAC,0,1,Medium
pcb,steel,45.86,23.5,EU,1,1,High
pcb,copper,35.39,50.4,APAC,1,0,Medium
housing,steel,38.05,37.9,APAC,0,1,Medium
cell,copper,17.66,20.4,EU,1,0,Medium
cell,aluminum,95.13,28.7,EU,0,0,Medium
connector,plastic,45.24,39.5,EU,1,1,Medium
cell,plastic,72.74,62.4,EU,0,1,Medium
connector,aluminum,40.13,58.2,EU,0,0,Medium
connector,aluminum,53.22,35.3,APAC,1,1,Low
pcb,glass,47.68,31.6,APAC,0,1,Low
cell,steel,91.29,37.1,EU,1,1,Low
cell,aluminum,38.05,37.1,EU,1,1,Low
pcb,glass,73.05,2.0,EU,1,0,Medium
connector,steel,83.19,42.4,EU,1,0,High
housing,copper,62.8,57.5,Other,0,1,High
cell,plastic,45.01,23.9,APAC,1,1,Low
cell,plastic,63.88,15.8,APAC,0,1,Medium
cell,copper,35.61,40.0,NA,0,0,Low
housing,plastic,59.02,6.0,APAC,0,0,Medium
pcb,aluminum,60.42,42.4,NA,0,0,Medium
connector,steel,50.99,0.0,EU,0,1,Medium
housing,glass,91.29,43.6,APAC,0,1,Low
housing,glass,40.13,43.6,EU,0,1,Medium
housing,copper,43.78,35.0,Other,0,1,Low
cell,plastic,28.8,43.8,APAC,0,1,High
pcb,plastic,42.93,34.9,EU,1,1,Medium
housing,plastic,59.02,57.0,EU,0,0,Medium
cell,aluminum,56.99,50.5,EU,1,1,Medium
cell,steel,28.8,57.5,EU,0,0,Medium
cell,steel,18.59,25.4,Other,1,0,High
cell,aluminum,64.94,52.4,NA,1,1,Medium
housing,glass,62.8,57.0,EU,1,0,Medium
cell,glass,45.24,20.9,EU,1,0,Low
pcb,plastic,61.66,51.9,NA,1,0,Medium
cell,aluminum,42.93,36.9,EU,0,1,Medium
pcb,copper,53.28,33.1,APAC,1,1,Low
housing,aluminum,72.74,10.4,EU,1,0,High
cell,steel,20.56,30.1,EU,1,1,Medium
housing,copper,36.95,36.9,NA,1,0,Medium
cell,aluminum,62.21,53.4,EU,0,0,Medium
connector,plastic,63.54,42.4,Other,0,0,Medium
pcb,copper,79.89,57.5,EU,1,0,Low
housing,glass,76.04,44.7,APAC,1,1,Medium
connector,steel,21.52,13.5,APAC,1,0,Medium
housing,plastic,51.77,35.3,APAC,0,0,Medium
housing,aluminum,79.33,7.8,APAC,0,0,Medium
cell,glass,39.58,24.4,EU,1,0,Medium
housing,steel,46.19,28.2,EU,0,0,Medium
housing,plastic,44.04,38.9,EU,0,0,Medium
housing,steel,96.08,37.1,Other,0,0,Medium
cell,glass,47.33,51.7,EU,1,0,Low
housing,steel,46.85,28.2,APAC,0,0,Medium
connector,aluminum,89.12,49.6,EU,0,1,Medium
cell,copper,95.13,31.6,APAC,1,1,Medium
housing,plastic,17.66,35.0,Other,1,0,Medium
pcb,aluminum,55.61,6.7,APAC,0,0,Medium
cell,steel,71.37,14.2,EU,0,0,High
housing,glass,48.77,35.3,EU,0,0,Low
housing,plastic,47.85,34.1,EU,1,1,Low
cell,aluminum,59.87,0.0,APAC,0,1,Medium
pcb,glass,63.83,21.3,EU,0,1,High
cell,steel,74.22,40.0,EU,0,1,Medium
pcb,copper,22.33,15.4,Other,1,0,Medium
cell,copper,62.13,15.8,EU,0,0,Medium
connector,plastic,9.39,33.1,NA,0,1,Medium
cell,aluminum,43.75,36.7,EU,0,1,Medium
cell,aluminum,47.68,18.2,EU,1,0,Low
housing,steel,18.59,10.2,EU,1,0,High
pcb,copper,38.07,27.2,NA,1,0,Medium
connector,copper,58.53,65.3,APAC,0,1,Low
pcb,plastic,22.33,30.1,Other,0,1,Medium
housing,plastic,63.33,57.0,EU,0,1,Low
pcb,glass,32.18,39.5,APAC,1,1,Medium
connector,copper,23.87,19.4,APAC,0,1,Low
connector,copper,56.34,6.7,APAC,1,1,Medium
cell,copper,68.64,67.8,APAC,0,1,Low
cell,glass,58.53,27.9,EU,1,1,Medium
housing,steel,45.01,36.7,NA,0,1,Low
connector,steel,56.34,43.2,EU,0,0,High
connector,steel,36.24,50.4,EU,0,0,Medium
connector,plastic,63.8,36.3,EU,0,0,High
connector,glass,11.27,23.1,NA,0,0,Medium
pcb,aluminum,54.64,62.4,EU,1,1,Low
housing,steel,55.61,41.1,APAC,1,0,Medium
housing,copper,77.29,50.4,EU,0,0,Low
pcb,plastic,47.85,41.1,EU,0,0,Medium
cell,copper,16.87,7.9,EU,1,1,Low
connector,aluminum,59.63,11.8,NA,1,0,Medium
pcb,glass,67.6,7.9,EU,1,1,Medium
pcb,copper,37.25,42.4,Other,1,1,Medium
connector,glass,55.61,42.5,NA,1,0,Medium
cell,copper,61.57,27.2,EU,0,1,Medium
connector,glass,31.11,11.8,Other,1,0,Medium
housing,aluminum,65.62,27.2,EU,1,0,Low
connector,aluminum,50.99,49.6,NA,1,0,Medium
pcb,aluminum,49.69,6.0,Other,1,0,Medium
pcb,aluminum,42.05,32.3,NA,1,1,Medium
housing,steel,21.52,25.5,NA,1,0,Medium
pcb,plastic,62.21,28.7,APAC,0,0,Medium
cell,steel,57.98,31.6,EU,1,0,Medium
connector,plastic,42.3,97.4,APAC,0,1,Low
housing,plastic,48.04,28.7,Other,0,1,Low
pcb,glass,95.13,30.2,NA,1,1,High
housing,steel,36.32,39.6,APAC,1,1,Low
connector,aluminum,26.22,40.0,NA,0,1,High
cell,aluminum,26.32,63.0,EU,1,0,Medium
pcb,steel,42.3,5.7,APAC,0,0,Low
