component_type,material_main,mass_g,recycled_content_pct,supplier_region,compliance_rohs,contains_hazardous_substance,repairability_bin
cell,glass,64.30513156039687,37.87563762733299,APAC,1,0,Medium
cell,aluminum,42.50366090908342,1.6447724497719485,NA,1,0,Medium
cell,plastic,19.494161809276896,30.92267077918079,NA,1,0,Low
housing,aluminum,31.42553374040219,39.07650169539022,APAC,1,0,High
pcb,copper,55.226186336295314,43.55661972144717,NA,1,0,Medium
connector,copper,62.629088409551066,28.351681361953897,EU,1,0,Medium
connector,steel,20.21859036241218,27.87659064510939,NA,1,0,Medium
connector,copper,53.82503354318385,14.184263869360183,APAC,1,0,Medium
cell,glass,41.06119292996244,36.41096080495808,EU,1,0,Medium
pcb,steel,34.410559340800255,46.72048217315504,APAC,1,0,Medium
cell,steel,38.93443673506489,43.27713398862269,APAC,1,0,Medium
cell,glass,31.395697764141943,3.609885076465016,NA,1,0,Low
pcb,aluminum,43.77019787855798,22.84997440955564,EU,1,0,Medium
cell,aluminum,40.4859537259772,26.346198748167215,APAC,1,0,Medium
pcb,copper,59.43340985632833,44.03232769612816,APAC,1,0,Medium
pcb,steel,48.24772388741178,32.880472350642435,EU,1,0,Low
connector,copper,39.4776718254125,25.106639585545043,EU,1,0,Medium
pcb,aluminum,62.47607126482056,27.711432513196502,EU,1,0,Medium
housing,copper,28.101764103703033,24.110128104988544,EU,1,0,Medium
pcb,aluminum,47.89955488608694,39.89238250428041,EU,1,0,Medium
connector,aluminum,54.00532616800391,42.887852880470206,APAC,1,0,Medium
housing,aluminum,30.575060272997906,9.07160500679004,APAC,1,0,Low
pcb,steel,33.113567643299135,5.62129396151337,EU,1,0,Low
cell,copper,58.13113231453008,29.305393465122677,EU,1,0,Medium
pcb,steel,36.97599995630318,29.24243996754035,EU,1,0,Medium
pcb,plastic,39.08634669841696,27.52374021916486,APAC,1,0,Low
connector,copper,65.75262641030344,40.19188093780437,APAC,1,0,Medium
cell,steel,58.94083499723139,37.887685066267835,EU,1,1,Low
connector,steel,29.210400189258216,14.0858461253243,APAC,1,0,Low
connector,aluminum,26.51876651549903,2.3765675084021165,APAC,1,1,Low
cell,aluminum,33.52632463840575,37.720407909174334,EU,1,0,Medium
connector,aluminum,45.48402053081523,4.210708032045604,EU,1,1,Low
cell,glass,42.825309908960485,42.32234721065319,EU,1,0,Medium
connector,steel,60.6898747054664,33.178815622117945,EU,1,0,Medium
connector,plastic,42.47661015117003,36.61045999725023,NA,0,0,Medium
pcb,glass,39.074791467411075,45.09574108389872,EU,1,0,Medium
housing,glass,43.41728325725043,53.18938284271732,EU,1,0,Low
pcb,plastic,36.66718546088586,35.31887433114286,EU,1,0,Medium
cell,copper,47.264261256335914,32.76480707434598,APAC,1,0,Medium
pcb,steel,55.05683715236836,22.185994292572367,NA,1,0,Medium
connector,aluminum,50.59404680593857,21.18239086522972,EU,1,0,Medium
pcb,aluminum,40.72276244653662,33.15616044572178,NA,1,0,Medium
connector,aluminum,30.471112203985783,30.496463595478673,NA,0,0,Medium
connector,glass,47.32575061812862,45.165772924788705,EU,1,0,Medium
pcb,copper,35.59553190664527,46.58981962863491,NA,1,0,Low
connector,aluminum,52.648215858291394,22.468990856470487,APAC,1,0,Medium
connector,copper,39.69323135164964,41.39627737577619,EU,1,0,High
pcb,steel,28.55626540114315,54.52965989283341,NA,1,0,High
connector,copper,43.498520184697625,36.52207434495275,APAC,1,0,Medium
connector,glass,42.70098981397167,40.3426655776635,APAC,1,0,Medium
housing,aluminum,45.38588182244618,43.5731524823054,APAC,1,0,Low
connector,aluminum,31.02903471249839,31.01109849067055,NA,1,0,Medium
pcb,steel,52.09363884200225,35.0438026436826,EU,1,0,Low
connector,plastic,27.257615159303512,32.292199559137515,NA,1,0,Medium
pcb,glass,47.00217003786134,8.383242914412762,EU,1,0,Medium
connector,steel,38.615634216085795,21.994886958628115,APAC,1,1,Low
housing,steel,21.82689272582264,45.471188021238426,NA,1,0,Low
housing,aluminum,49.68375413616391,36.10284343418746,Other,1,0,Medium
connector,steel,43.46841576707701,24.94237418190807,EU,1,0,Medium
pcb,copper,49.57879280065507,21.96628451147958,EU,0,0,Medium
connector,steel,37.417299730909114,16.355320087965286,EU,1,0,Medium
connector,aluminum,54.69835209436711,25.525882921883465,EU,1,0,Medium
connector,plastic,41.88160430659961,40.66237452913665,APAC,1,0,Low
pcb,copper,63.18896018105387,20.36950140457833,EU,1,0,Medium
connector,aluminum,64.88204211816314,37.95163785270758,Other,0,0,Medium
pcb,steel,43.33990308586242,31.71273785401291,NA,1,0,Low
pcb,plastic,38.57495922373548,24.796939393370955,EU,1,0,Medium
pcb,plastic,42.99387103370712,32.745741799242175,EU,1,0,Medium
pcb,copper,60.970114119311994,33.6753199145406,APAC,1,0,Low
pcb,copper,53.59718864771792,34.9403225415407,EU,1,0,High
connector,aluminum,48.13873739126921,29.366790498041095,EU,0,0,Medium
pcb,aluminum,46.443373424130705,47.18252658731599,EU,1,0,Medium
connector,aluminum,46.869934821267755,50.33971483238968,EU,1,1,Low
connector,aluminum,26.34206526850534,42.92133217465742,EU,1,0,Medium
pcb,aluminum,50.63654206183904,45.26679178924421,EU,1,0,Medium
housing,aluminum,56.5365171189045,2.970473258838357,EU,1,1,Low
cell,glass,38.40888758629348,32.282969598982014,EU,1,0,Medium
pcb,aluminum,24.133534706507582,34.02343916402861,NA,0,0,Medium
housing,aluminum,33.0626618049117,33.88845666487048,NA,1,0,Low
connector,copper,36.33592102514429,39.48413304580837,NA,1,0,Medium
connector,steel,59.61472695808281,36.73895583356357,EU,1,0,Medium
pcb,copper,58.49359331209905,31.5725463562163,APAC,1,0,Medium
pcb,steel,26.60435586873719,34.42922681800266,EU,1,1,Medium
cell,copper,56.14790369519447,7.673214182551384,APAC,1,0,Low
cell,aluminum,33.6416508339578,31.317864865983616,NA,1,0,Medium
cell,copper,49.58717277797267,26.769772525158302,EU,1,0,Medium
pcb,plastic,27.758602480533863,28.518601711142836,APAC,1,1,Low
pcb,copper,46.26303958632171,6.604518802598703,APAC,1,1,Low
cell,copper,39.9185817474204,7.658111997347161,APAC,1,0,Low
pcb,aluminum,46.19024992927561,36.48248104440914,NA,1,0,Medium
cell,glass,46.80821391487842,47.74925090208107,EU,1,0,Medium
cell,steel,60.33774758640689,30.512973683872765,EU,1,0,Medium
connector,glass,46.34721850855339,41.74285999900642,NA,1,0,Medium
pcb,aluminum,46.147915557188355,32.83171011518325,EU,1,0,Medium
pcb,aluminum,48.79962693257759,23.086769026008724,NA,1,0,Medium
cell,copper,36.54950678337078,37.323347453463256,APAC,1,0,Low
connector,steel,41.11857422000331,34.33492750510963,EU,1,0,Medium
connector,aluminum,32.15015833370106,39.05182186794545,APAC,1,1,Medium
connector,steel,19.486360301857843,43.97193335293677,NA,1,0,Low
connector,plastic,25.466425145100754,55.91165314336243,NA,1,0,High
cell,steel,40.84338952355744,29.593988427231057,EU,1,0,Medium
pcb,copper,64.32527914266356,36.34404298273695,APAC,1,0,Medium
connector,aluminum,38.085959312962565,30.297016195596814,APAC,1,0,Medium
pcb,copper,66.3270107232344,55.54652671170385,EU,1,0,Medium
pcb,plastic,37.38193787253781,40.595678091128946,APAC,1,0,Medium
connector,plastic,36.10088223537997,21.352521635342317,NA,1,1,Medium
connector,steel,54.79130799091137,48.265322664688455,EU,1,0,High
pcb,plastic,38.79860874831422,22.190721501347657,NA,1,0,Medium
connector,aluminum,28.33472219445839,31.06649809000967,APAC,1,1,Low
cell,copper,47.27044209081168,28.64294203903472,APAC,1,0,Medium
connector,steel,38.95608357903717,30.964062763356388,EU,1,0,Low
pcb,aluminum,41.31512453356004,37.473633369962535,EU,1,0,Medium
connector,aluminum,37.42686894139413,46.79740417590023,NA,1,0,High
connector,aluminum,36.55363810704544,46.968868086904855,EU,1,0,Medium
connector,aluminum,45.41032390954641,32.62986481881172,NA,1,0,Medium
housing,aluminum,42.47204163565328,14.105303504960029,APAC,1,0,Medium
pcb,aluminum,44.78699694452528,17.60981700359274,EU,1,0,Low
pcb,plastic,37.493039179791666,5.915871440542523,EU,1,0,Low
housing,copper,51.53952937036461,42.70816566671835,EU,1,0,Low
cell,copper,42.12552282468272,4.777843736763701,APAC,1,0,Low
cell,copper,52.984328946488006,36.94256529562605,APAC,1,0,Medium
connector,steel,33.62686205411731,37.64919157373541,APAC,1,0,Medium
pcb,copper,33.72962719896052,10.818244091492907,NA,1,0,Medium
connector,steel,37.957688897291035,35.35115666092586,EU,1,0,Medium
pcb,copper,32.260051097901,30.46940400951555,NA,1,1,Medium
housing,glass,44.988147797205016,26.550297404069468,NA,1,0,Medium
pcb,aluminum,45.88981810011456,39.02955240684563,EU,1,0,Medium
pcb,plastic,33.22796933126154,40.57375835278864,EU,1,0,Medium
cell,glass,49.3389167494413,44.37197367895168,NA,1,0,Medium
cell,plastic,30.537171055926727,22.67511189617493,EU,1,0,Medium
pcb,steel,47.64532810837939,38.79706017387083,APAC,1,0,Medium
pcb,steel,52.951635629150275,33.32930693697214,EU,1,0,Medium
cell,copper,27.152720305410437,39.11024143950936,NA,1,0,Medium
pcb,aluminum,35.94110170500576,7.841608156083103,NA,1,0,Low
cell,copper,24.42449618066383,34.40588835021817,APAC,1,0,Medium
cell,steel,35.31811279788035,17.198837780437028,EU,1,0,Medium
pcb,glass,42.32055605470079,40.08782538018177,NA,1,0,Medium
pcb,copper,61.479293914424005,30.768108623388457,NA,1,0,Medium
pcb,aluminum,56.95619566842316,45.40288552255149,NA,0,0,High
pcb,glass,35.74022736920448,34.06489944900246,NA,1,0,Medium
pcb,copper,23.03565409720003,35.82536768616134,APAC,1,0,Medium
housing,aluminum,44.99913607114691,27.1457772051161,EU,1,0,Low
pcb,aluminum,33.09681177863539,34.948337966132264,NA,1,0,High
connector,aluminum,44.56812311427253,18.581031682273785,NA,1,0,Medium
pcb,aluminum,29.121580628779157,37.99503564144595,NA,1,0,Medium
connector,steel,25.39035042298389,31.154530167000004,APAC,1,0,Medium
pcb,plastic,39.879671116542355,15.138287152099426,NA,1,0,Low
pcb,copper,40.86354211821467,34.1470857145175,NA,1,0,Medium
pcb,copper,43.361495350470975,32.866359308520614,NA,1,0,Medium
housing,steel,35.00156362691793,5.146737182276265,EU,1,0,Low
pcb,steel,62.97799868774447,48.62601889685211,EU,1,0,Medium
pcb,steel,26.58317462015342,47.74033268830763,EU,1,0,Low
connector,aluminum,34.46696321468461,25.16521503029999,NA,1,0,Medium
pcb,steel,65.2188547133071,23.6886447291921,EU,1,0,Low
cell,steel,48.90345345111896,42.46334159708651,EU,1,0,Low
connector,aluminum,49.26794119488199,53.41373140997521,APAC,1,0,Low
connector,steel,41.66620629072453,40.42427681280654,EU,1,0,Medium
pcb,copper,61.81970317825101,28.665770943187436,APAC,1,1,Low
connector,steel,24.710010857093177,52.42497277853484,NA,1,0,Medium
connector,steel,43.16729863274184,29.22702665959952,EU,1,0,Low
