component_type,material_main,mass_g,recycled_content_pct,supplier_region,compliance_rohs,contains_hazardous_substance,repairability_bin
pcb,plastic,43.48354761720377,42.42113963912915,APAC,1,0,Medium
cell,plastic,27.896104605726965,42.805020733132686,APAC,1,0,Medium
connector,glass,59.416911294379304,51.6274858564038,APAC,1,0,Medium
pcb,copper,61.33379201391913,29.02430422227118,EU,1,0,Medium
pcb,copper,55.95783607341085,34.13884540742215,EU,1,0,Medium
pcb,steel,57.64676496648643,32.90768440892697,EU,1,0,Medium
pcb,steel,70.39687023728048,22.971075975943684,EU,1,0,Medium
pcb,steel,55.452986426798496,10.715776530342895,EU,1,0,Low
connector,copper,43.907691092834554,11.919170010571847,NA,1,0,Low
cell,copper,29.216651197201635,30.699969933255,NA,1,0,High
pcb,plastic,56.442971431072635,24.33730619577237,EU,1,0,Medium
pcb,plastic,48.528526499028466,25.782495539250135,APAC,1,0,Medium
housing,steel,36.26745733960573,43.10005354143649,NA,1,0,High
connector,steel,30.59918435176459,24.933136286390123,NA,0,0,Medium
connector,aluminum,36.49087963581304,35.81352656665025,EU,1,1,Medium
pcb,steel,42.81803024709052,52.71694990548281,EU,1,1,Medium
pcb,glass,33.89485675479076,31.062424981825107,EU,1,0,Low
pcb,copper,28.08297766393579,34.239229726287256,NA,1,0,Medium
cell,glass,48.5451152143908,50.193426425577314,APAC,1,0,Low
housing,aluminum,33.67071156048023,33.99909403883586,NA,1,0,Medium
pcb,steel,47.7010548918408,29.832614411975864,Other,1,0,Medium
cell,copper,54.16422312531128,45.06303605436223,APAC,1,0,Medium
pcb,plastic,42.034873184722,39.410739445296535,EU,1,0,Medium
housing,aluminum,39.62570442621093,6.735572014598996,EU,0,0,Medium
connector,aluminum,42.07768234158044,47.024408822333314,NA,1,0,Medium
pcb,aluminum,49.88779290245775,38.72369930672911,Other,0,0,Medium
housing,aluminum,33.87833591555041,45.6714079853362,EU,0,1,Low
cell,plastic,57.59577391745971,33.01201231952518,Other,1,0,Medium
pcb,aluminum,45.430607104823984,10.272384732814508,EU,0,0,Low
connector,copper,40.375015599882225,35.226494242340145,NA,1,0,Medium
pcb,plastic,44.797253409447414,42.51240367588409,EU,1,0,Medium
connector,aluminum,44.1642452905524,30.614787785008332,EU,1,1,Medium
connector,steel,30.124303788228094,34.45932933206053,NA,1,0,Medium
connector,aluminum,35.09568072727206,60.589612792027815,EU,1,0,High
pcb,copper,47.8501345253311,31.241117441212378,APAC,0,0,Low
cell,steel,36.366557870027364,0.3951153009102484,EU,1,0,Low
pcb,aluminum,43.83416266511517,35.495841203453956,NA,0,0,Medium
cell,plastic,29.59438717649408,46.682949042377786,APAC,1,0,Low
housing,aluminum,58.61713760041777,33.42341069986187,EU,1,0,Medium
pcb,glass,38.097325186992265,55.1517356279513,EU,1,0,Medium
housing,aluminum,28.329965992762308,40.52030886877223,EU,1,0,High
cell,glass,42.50388813745485,37.01393038368524,NA,1,0,Medium
connector,plastic,48.37896567604572,31.444695764062384,NA,1,0,Medium
pcb,aluminum,42.70579057025038,33.73043497445464,NA,1,0,High
connector,steel,40.986157443485496,48.235314524762614,APAC,1,0,High
housing,aluminum,31.465228531934574,48.46263431844738,EU,1,0,Medium
connector,glass,50.05133683311721,32.45620054516133,EU,0,0,Medium
connector,glass,12.560771472350346,8.110154594234679,NA,1,1,Low
connector,steel,46.01710664417131,17.972516347964063,EU,1,0,Medium
pcb,plastic,59.23284628874093,34.97500574357429,EU,1,0,Low
connector,steel,45.34490218813712,29.8241898911093,EU,0,0,Low
pcb,plastic,56.34074539667928,19.88968404577013,NA,1,0,Low
connector,plastic,38.222331979485915,43.04170708856945,NA,1,0,Medium
pcb,copper,49.553413205077234,36.077665414768724,APAC,1,0,Medium
connector,aluminum,41.9520818592732,48.19433858030417,EU,1,0,High
pcb,glass,27.277303829369075,22.676872413016177,APAC,1,0,Medium
cell,steel,48.0871046170195,2.546263801224544,NA,1,0,Low
connector,glass,19.963903001706665,12.28390103241921,APAC,1,0,Low
connector,plastic,51.36924119860867,26.272115337933617,EU,1,0,Medium
cell,glass,35.48215720181255,24.101614594700187,NA,1,0,Medium
cell,copper,43.63355844147111,35.934046761461474,APAC,1,0,Medium
pcb,steel,54.61692748074058,40.03044279044692,EU,0,0,Medium
housing,steel,18.388597762194266,52.00327741519859,EU,1,0,High
cell,glass,40.61097444177793,27.943679600152688,APAC,1,0,Medium
pcb,copper,40.81018243618872,18.55725166824997,NA,1,0,Medium
cell,steel,46.39271347134618,45.43351205393702,EU,1,0,Medium
cell,steel,36.22572640364701,24.225724797080947,EU,1,0,Medium
cell,copper,64.96894694545354,32.63310244669235,EU,1,0,Medium
pcb,aluminum,27.52542161686534,32.61084517204201,NA,0,0,Medium
cell,plastic,34.302659280308575,36.91873274525172,APAC,1,0,Low
pcb,glass,35.3870008658185,41.468684157285885,APAC,1,0,Medium
cell,plastic,43.40974629266576,32.600862486076736,APAC,1,0,Low
cell,copper,43.022040668576885,42.955323866534435,EU,1,0,Medium
pcb,steel,23.65820859714476,41.79985063851727,NA,1,0,Low
pcb,steel,44.899231052042595,35.41356963279256,APAC,1,0,Medium
connector,glass,21.31386898409396,53.127462075877034,NA,1,0,Medium
connector,steel,34.793365631596345,52.579716880851976,NA,1,1,Medium
connector,steel,54.33464189768756,30.26542721810811,APAC,1,0,Medium
connector,copper,36.9318719837988,43.90589526660683,APAC,0,0,Medium
connector,glass,36.414506397992525,11.583673282938936,EU,1,0,Low
connector,steel,34.65938554616039,32.90559967584837,EU,1,0,Medium
housing,plastic,36.98450097066957,20.03018984060102,EU,1,0,Medium
connector,copper,46.502425232554174,8.585800900507456,APAC,1,0,Medium
pcb,plastic,33.24534004916562,19.74472197811054,EU,1,0,Low
cell,glass,26.8905856462178,22.92206944468328,NA,1,0,Medium
pcb,plastic,38.74857506588184,35.92634446485526,Other,1,0,Low
connector,plastic,46.351008711204756,43.28013752331097,NA,1,0,Low
connector,aluminum,42.08869177894907,39.88767315007064,NA,1,0,Medium
pcb,glass,25.941762393109236,41.962050013858565,EU,1,0,Medium
pcb,aluminum,33.692419667003634,53.374623676562734,EU,1,0,High
housing,copper,23.107894897481316,41.655538703767185,APAC,1,0,Medium
pcb,steel,33.924465502679574,31.003146123869904,NA,1,0,Medium
connector,steel,24.3205547948391,5.404943946383509,APAC,1,0,Low
pcb,aluminum,54.82817969270166,44.41977686917731,EU,1,0,High
cell,copper,57.72004778706905,30.82860442585691,EU,1,0,Medium
pcb,steel,14.180428571144859,38.330083506836935,NA,1,0,Medium
cell,copper,44.98829705505684,7.533491547188525,EU,1,0,Low
pcb,aluminum,43.57341421037471,40.92817572941174,APAC,1,0,Medium
cell,plastic,35.79404039410873,10.022776978905299,APAC,1,0,Medium
connector,plastic,46.00713254391661,27.173488624423538,APAC,1,1,Medium
pcb,copper,49.2455673454309,33.4134299977372,EU,1,0,Medium
connector,aluminum,31.339572356399046,26.439540149449897,NA,1,0,Medium
cell,aluminum,49.99689792075178,38.28357165514755,EU,1,0,Medium
connector,copper,32.797446196329986,16.30674660077015,NA,1,0,Medium
cell,plastic,39.50607537184109,8.955944227643382,APAC,1,0,Low
connector,steel,43.55472356296013,58.35231670216183,EU,1,0,Medium
pcb,aluminum,34.79962443659173,44.54771191626019,EU,1,0,Medium
pcb,aluminum,35.61193022078338,40.946965817481924,APAC,1,0,Medium
cell,steel,54.300803806042296,26.00200693628161,EU,1,0,Medium
connector,aluminum,52.7340694758978,51.35612593473071,EU,1,0,Medium
pcb,glass,39.21907702781006,33.21031816083708,EU,1,0,Low
cell,aluminum,49.874400334446385,0.0,APAC,1,0,Low
pcb,copper,31.029853402954274,13.08465615982043,NA,1,1,Medium
cell,glass,44.6485001382749,26.46327708579183,NA,1,0,Low
cell,aluminum,56.54367982499505,36.44967924286185,EU,1,0,Medium
pcb,steel,45.81908742171839,52.89635144618637,NA,0,0,Medium
cell,copper,56.73267256747265,43.679624074389004,EU,1,0,Medium
pcb,copper,49.878595252826095,38.67638499151171,APAC,1,0,Medium
pcb,aluminum,64.60031569512216,32.15732106990867,EU,1,0,Medium
pcb,plastic,35.619677148838704,39.946239242434125,EU,1,0,Medium
pcb,aluminum,59.0492491062202,24.84027667497063,Other,1,0,Medium
cell,plastic,47.86233621548439,5.3030909796354,APAC,1,0,Low
cell,steel,40.92025620338061,45.46509026200526,EU,1,0,Low
pcb,aluminum,30.64489735354614,21.604393440455205,NA,1,0,Low
pcb,copper,47.91192936448099,4.303848582206934,EU,1,0,Low
connector,steel,49.154588036366974,0.015050741537423917,EU,1,0,Low
connector,glass,55.032969262451815,28.813959302495583,NA,1,0,Medium
housing,aluminum,47.5482564822644,35.20877812055617,APAC,1,1,Low
connector,steel,35.32744364134829,51.63448711333335,EU,1,0,High
connector,glass,31.53815547278841,32.761425476317996,APAC,1,0,Low
pcb,plastic,48.295443237742525,33.994043747446426,EU,1,0,Medium
cell,glass,29.728135578100343,4.854167405526184,EU,1,0,Medium
pcb,plastic,46.981220194641125,35.82659111358231,Other,1,0,Medium
connector,steel,30.779472242660244,21.41640357033159,NA,1,0,Medium
connector,plastic,42.48636426317297,37.46122161286937,NA,1,1,Low
pcb,steel,37.2953003727432,24.605131480284463,NA,1,0,Medium
cell,copper,27.143943052631716,44.30116473935295,NA,1,0,Medium
housing,plastic,39.807746653797764,30.573888926928,EU,1,0,Low
pcb,aluminum,28.862063551316215,24.06946504053537,EU,1,0,Low
pcb,aluminum,50.817392941656195,35.738937489614656,EU,1,0,Medium
pcb,aluminum,46.47642484892635,28.821819279004814,EU,1,0,Medium
housing,copper,32.495627884250624,42.40654594076735,NA,1,0,High
housing,aluminum,53.980624550459844,47.91804059593919,NA,1,0,High
cell,steel,33.04945025729642,30.413966433798976,EU,1,0,Medium
connector,steel,34.00390075419154,24.023166735117698,EU,1,0,Medium
connector,copper,62.940423580480854,29.68301129090475,EU,0,0,Medium
connector,plastic,41.14963656115053,35.76081074940345,NA,0,0,Medium
pcb,copper,33.66425671532126,34.79670594292552,EU,1,0,Medium
cell,glass,45.56484365757622,29.264634042696866,NA,1,0,Medium
cell,glass,26.196269307755088,33.29294228831602,EU,1,0,Medium
cell,aluminum,44.70126111809671,36.11695162298493,EU,1,0,Medium
connector,glass,51.16465727610398,55.92682328912525,APAC,1,0,Medium
connector,plastic,43.84964259791876,44.79265728357523,APAC,1,0,Medium
connector,glass,44.68802729319012,29.06097239854111,APAC,1,0,Medium
connector,plastic,43.0261697645224,3.0830317302269608,EU,1,0,Low
pcb,copper,23.96236491094779,0.0,APAC,1,0,Low
connector,aluminum,36.748226905101745,6.981815939187451,NA,1,0,Low
cell,glass,48.585589780735795,0.041921040841492285,EU,1,0,Low
cell,steel,34.962851263932606,40.189532070518425,EU,1,0,Medium
connector,aluminum,47.258873214964865,24.590079231335224,EU,1,0,Medium
pcb,steel,53.88468043375161,26.039933434311866,EU,1,0,Medium
housing,glass,47.143518058934106,7.579826962533868,EU,0,0,Low
pcb,plastic,39.28619405108854,41.74228695247503,NA,1,0,Medium
cell,copper,22.501778810799067,37.6423018369889,NA,1,0,Medium
pcb,aluminum,75.95519253996426,24.73638804336533,Other,1,0,Medium
connector,steel,36.820678225785976,40.196449439330614,APAC,1,0,Medium
connector,steel,35.71058966083695,36.102040899808,NA,1,0,Medium
housing,copper,40.44896172681379,33.75410304318672,EU,1,0,Medium
connector,steel,45.52924649531538,23.56394164187381,EU,1,0,Medium
cell,aluminum,45.163418563630046,47.31551872752754,APAC,1,0,Low
cell,aluminum,47.806803662156646,37.88705165430064,NA,1,0,Medium
connector,copper,43.357907035772165,40.29360009799631,APAC,1,0,Medium
connector,glass,51.005604516990466,38.87832225306595,APAC,1,0,Medium
pcb,aluminum,39.09134460872383,29.564627019345096,NA,1,0,Medium
pcb,glass,38.160907918003375,41.975351381763815,NA,1,0,Medium
connector,steel,40.23335987372316,6.281239642615301,NA,1,0,Low
housing,glass,31.59805353981577,36.19871159303536,APAC,1,1,Medium
cell,copper,30.570344170426193,28.204309778166753,NA,1,0,Medium
cell,glass,53.27913213953179,0.4876876499898328,EU,1,0,Low
connector,copper,38.693786295617926,32.923640438978396,APAC,1,0,Medium
pcb,steel,43.701272496156875,31.63231890707837,EU,1,0,Medium
pcb,copper,33.98920665283915,31.6632923271654,NA,1,0,Medium
pcb,copper,24.543864590725263,36.55735625945567,APAC,1,0,Low
cell,plastic,49.1304234407767,43.643104969570864,APAC,1,0,Medium
connector,steel,37.90126051838624,46.93548174982065,APAC,1,0,High
pcb,copper,46.756342355912416,26.147165120756096,APAC,1,0,Medium
connector,aluminum,44.14957068182991,39.48933099162058,EU,1,0,Medium
pcb,glass,20.052375036441184,45.2600070543473,NA,1,0,Medium
pcb,steel,30.30725827089434,25.63106728481494,APAC,1,0,High
housing,plastic,29.41372725483344,46.35302727942824,EU,1,1,Low
connector,copper,36.43825399053596,7.2798692838424754,APAC,1,0,Medium
cell,steel,48.31995271364899,43.45864520211541,EU,1,0,Medium
connector,glass,31.688921497231384,28.410284580477423,EU,1,0,Medium
pcb,aluminum,32.86398066844053,48.14100274201431,NA,1,0,High
housing,steel,50.535022496046565,22.815271935927527,EU,1,0,Low
housing,copper,21.5630404874695,61.66073935210224,EU,1,1,High
pcb,aluminum,28.068965247697683,33.86442697033522,EU,1,0,Low
cell,copper,37.79859227976024,53.04522224666543,NA,1,0,Medium
pcb,plastic,56.55152922859043,22.076419406958223,EU,1,0,Medium
pcb,aluminum,38.51956562501233,8.541710294113656,APAC,1,0,Low
cell,glass,27.352598846289858,8.11381107341814,EU,1,0,High
pcb,copper,37.66609140646771,36.78718618718408,NA,1,0,Medium
pcb,aluminum,43.69127890327228,50.65952240908188,EU,0,0,High
connector,plastic,45.22933567630499,25.769859041356085,EU,1,0,Low
connector,plastic,32.28481899038674,36.0921108210447,EU,1,1,Medium
cell,aluminum,39.99140732659875,28.859945861531195,EU,1,0,Medium
cell,copper,48.14493549064575,40.52643978648422,Other,1,0,Medium
cell,steel,54.06276816366362,27.190271916010637,APAC,1,0,Medium
cell,copper,49.32590580187268,36.66694721949264,Other,1,0,Medium
cell,steel,36.952224517145595,44.795059997963534,APAC,1,0,High
cell,plastic,55.490538142906225,40.263878481336164,EU,1,0,High
pcb,glass,28.589055346231973,1.8292156651141456,EU,1,0,Medium
connector,aluminum,55.17551830799268,34.960731868659906,NA,1,0,Medium
cell,glass,42.469351652726814,42.80185395670253,NA,1,0,Medium
pcb,aluminum,37.00960079479592,43.20438655333913,NA,1,0,Medium
cell,copper,45.033709591871755,35.252798055881115,APAC,1,0,Low
connector,steel,40.09162394931535,26.238082835621135,EU,1,0,Medium
cell,glass,57.169647762901754,46.19456149212086,APAC,1,1,Medium
pcb,copper,35.86469059579001,38.777522177889495,EU,1,0,Medium
pcb,steel,32.233585675816954,44.123006216496414,APAC,1,1,Low
cell,steel,58.975901681492765,39.50482762086716,EU,1,1,Low
pcb,steel,34.60433613158808,49.0932961157389,EU,1,0,Low
connector,aluminum,34.067299697549295,3.845570442448904,APAC,1,0,Low
housing,aluminum,38.58486927677765,18.36638126155609,EU,1,0,Medium
pcb,plastic,30.753483554610366,44.648821470572294,APAC,1,0,Medium
connector,aluminum,53.18120590082867,43.813031120694504,NA,1,0,Medium
connector,steel,27.98355856824832,47.79621577794476,EU,1,0,Medium
cell,copper,35.758842273828584,40.675544113344024,APAC,1,0,Medium
cell,glass,39.78056613066245,11.86517459782636,NA,1,0,Medium
housing,glass,19.117722368339077,26.930995850917935,NA,1,1,High
pcb,plastic,45.04328659940874,14.359023994168236,APAC,1,0,Medium
cell,copper,36.30414581067494,52.27142464870161,EU,1,0,Medium
pcb,aluminum,25.654984594262242,33.82381236827416,NA,1,0,Medium
connector,plastic,39.48325785621012,26.902593488265524,Other,1,0,Low
pcb,aluminum,40.74163743853685,27.48645818592807,EU,1,0,Medium
connector,copper,36.46004340917268,35.582301015906936,NA,1,0,Medium
connector,plastic,27.69334115562205,38.157953167089204,APAC,1,0,Low
cell,glass,26.760969682150755,42.01867676031981,EU,1,0,Low
pcb,aluminum,31.323001393253232,42.12643558155553,EU,1,0,Medium
pcb,aluminum,33.92215646143462,32.991571109253265,NA,1,0,Medium
connector,glass,26.291480223112863,22.581059713141137,NA,1,0,Medium
connector,glass,31.637378528312297,33.717590173296216,APAC,1,1,Medium
cell,steel,59.9848830890048,21.51041721017632,EU,1,0,Medium
connector,aluminum,46.364113884754,37.46503809710034,APAC,1,0,Medium
pcb,aluminum,24.25007390057182,44.90747574333568,NA,1,0,Medium
pcb,aluminum,40.5788789912459,47.583425632910576,NA,0,0,Medium
cell,copper,61.576393944085424,11.047993531339152,EU,1,0,Medium
cell,glass,52.84408922065825,36.33354790793831,EU,1,0,Medium
connector,aluminum,43.03171792392479,37.42262684395829,EU,0,1,Medium
connector,plastic,50.146201858719024,35.93898680799398,EU,1,0,Low
connector,glass,28.399959014349758,38.351310884803254,APAC,1,0,Medium
pcb,copper,61.57431213121189,25.043636208541585,EU,1,0,Medium
cell,aluminum,40.45743767922746,31.297573577380895,EU,1,0,Medium
pcb,glass,47.544516125052354,46.17378444597372,EU,1,0,Medium
connector,plastic,28.06007215300412,4.259603138095512,APAC,1,0,Low
connector,glass,43.64972228711812,54.34174484184149,NA,1,0,Medium
connector,aluminum,35.30996933403959,27.289143131299525,APAC,1,0,Medium
pcb,aluminum,33.105048807099685,44.92175826212703,APAC,1,0,Low
cell,steel,28.995551308614075,39.06976655650863,APAC,1,0,Medium
pcb,aluminum,46.231925728938315,47.65871748548338,APAC,1,0,Medium
pcb,plastic,33.26652909480134,37.09555444294081,NA,1,0,Low
housing,steel,36.822872538980654,52.35127480019179,APAC,1,0,Medium
housing,steel,40.65730452452894,67.86591391867076,EU,1,0,High
connector,steel,64.41767309453435,25.44326899701339,NA,1,0,Medium
cell,copper,33.17922216240268,46.93173512511985,NA,1,0,High
connector,steel,34.217871909557815,49.19601144732444,APAC,1,1,Medium
cell,glass,59.509260691667464,58.358535759078194,NA,1,0,Medium
housing,aluminum,39.736019345081324,44.99031582603565,NA,1,0,Medium
connector,copper,49.48927476877464,40.552604660330815,EU,1,0,Low
connector,plastic,42.99385711040004,35.49733503543565,EU,1,0,Medium
cell,glass,54.62506704605536,36.57727447088952,NA,1,0,High
housing,plastic,38.90625373382033,30.918440097370386,NA,1,1,Medium
pcb,steel,30.934397437392015,25.83854073700593,APAC,1,0,Medium
connector,glass,42.88952420118042,25.388449245944905,NA,1,0,Medium
connector,steel,32.4781446660254,41.689067877375535,EU,1,0,Low
housing,steel,38.549810389568236,41.431875411738226,APAC,1,0,Low
connector,glass,41.91188917027989,40.63843524105218,EU,1,1,Low
pcb,copper,43.85127385257541,32.29268871755155,APAC,1,0,Medium
connector,aluminum,46.143470402172284,4.604261521419762,EU,1,0,Low
connector,copper,48.810897919269586,40.701914456396985,NA,1,0,High
cell,glass,57.15642953209908,41.18861460850954,EU,1,1,Medium
cell,glass,55.829819618860334,49.476692019009626,NA,1,0,Medium
connector,plastic,43.457386837078474,15.411748811199232,NA,1,0,Medium
connector,glass,27.56937025717462,6.917515101338833,NA,1,0,Medium
connector,steel,23.798644641604252,45.380995258414586,EU,1,1,Low
connector,copper,41.14581544875746,24.750066340987075,EU,1,0,Medium
connector,plastic,22.03164999350039,46.94297273197584,NA,1,0,Medium
cell,aluminum,44.654141305368526,41.38002802071982,EU,1,0,Medium
cell,steel,49.738051668223605,48.27284085380062,EU,1,0,Low
pcb,copper,46.745694924527676,40.57475254034163,EU,1,0,Medium
connector,steel,50.455982596838936,32.21343003396989,EU,1,0,Medium
connector,plastic,41.82198025025545,14.180809361671727,NA,1,0,Medium
cell,aluminum,35.30883319218245,52.0670301171422,NA,1,0,High
cell,steel,46.38101315948059,46.93628548867477,EU,1,0,High
connector,aluminum,55.84873916544319,35.371164260320896,APAC,1,0,Low
connector,copper,35.361984581534585,39.2247101765103,Other,1,0,Medium
pcb,aluminum,56.84905303583625,39.022881601081075,NA,1,0,Medium
connector,steel,34.932662192604994,27.639273428357644,EU,1,0,Medium
cell,steel,45.43535411713739,7.557320103281267,APAC,1,0,Low
housing,plastic,67.70110412598208,30.639821586299647,EU,1,0,Medium
connector,aluminum,47.19582541741149,38.413688076687464,APAC,1,0,Medium
